ID,CUIs
ROCOv2_2023_train_017334,C1306645;C0037949;C0205129;C1299991
ROCOv2_2023_train_030869,C0040405;C2945625
ROCOv2_2023_train_049287,C0024485;C0026845
ROCOv2_2023_train_045339,C1306645;C0817096;C1321756;C0332853
ROCOv2_2023_train_009501,C0024485;C0030797
ROCOv2_2023_train_026197,C0024485;C0230460;C0006655;C0224519;C0013604
ROCOv2_2023_train_003475,C0041618;C0577870
ROCOv2_2023_train_011037,C0024485;C0581269
ROCOv2_2023_train_001743,C1306645;C0817096;C1999039
ROCOv2_2023_train_025657,C0032743;C0588211
ROCOv2_2023_train_058288,C1306645;C0817096;C1996865;C0008034
ROCOv2_2023_train_025173,C0034606
ROCOv2_2023_train_048701,C0040405;C0227327
ROCOv2_2023_train_030556,C0040405;C0817096;C0332482
ROCOv2_2023_train_013818,C0040405
ROCOv2_2023_train_011836,C0040405;C0006663
ROCOv2_2023_train_024609,C0002978;C0021852;C0013303;C0016169;C0227613
ROCOv2_2023_train_035462,C0002978;C0085590;C0087086;C0001168;C0149566
ROCOv2_2023_train_044970,C0002978;C1261316;C1947917;C0087086;C0018827
ROCOv2_2023_train_032234,C0040405;C1265741;C0227614
ROCOv2_2023_train_038280,C0032743;C0024204;C0023884;C0037993
ROCOv2_2023_train_044425,C0024485;C0581269;C0228134;C2939419;C1261287;C0037925;C0332459;C0036525;C0221430
ROCOv2_2023_train_049638,C1306645;C0037303;C0011429
ROCOv2_2023_train_036737,C0024485;C0817096;C0018792;C0225860
ROCOv2_2023_train_010442,C0041618;C0033572
ROCOv2_2023_train_006243,C0002978;C0042458
ROCOv2_2023_train_001972,C1306645;C0817096;C1996865;C0032227
ROCOv2_2023_train_032474,C0040405;C0332853;C0015733;C0032320
ROCOv2_2023_train_043035,C0040405;C0023884
ROCOv2_2023_train_045909,C1306645;C0817096;C1996865;C0032326
ROCOv2_2023_train_045375,C0040405;C0817096
ROCOv2_2023_train_033637,C0041618;C0031039
ROCOv2_2023_train_050630,C1306645;C0817096;C1996865;C0032326
ROCOv2_2023_train_017668,C0002978;C0018787;C1261287
ROCOv2_2023_train_025106,C0040405;C0013303;C0025474;C0042591;C0460005
ROCOv2_2023_train_039556,C0041618;C0018944;C0332459;C0227628
ROCOv2_2023_train_014810,C0040405;C0018792;C0032227;C0031039
ROCOv2_2023_train_032192,C0002978;C0035065
ROCOv2_2023_train_033755,C1306645;C1140618;C1999039
ROCOv2_2023_train_032580,C0040405;C0024204;C0230278;C0005682;C0027651
ROCOv2_2023_train_046383,C1306645;C0817096;C1996865
ROCOv2_2023_train_042238,C0040405;C0600139;C0153690;C0028259;C0228465;C0013609;C0149556;C0549423;C0036525
ROCOv2_2023_train_013248,C0040405
ROCOv2_2023_train_015263,C0040405;C0003483;C0042458
ROCOv2_2023_train_025186,C1306645;C0023216;C0027740;C0027551
ROCOv2_2023_train_037207,C0040405;C0001304;C0242216
ROCOv2_2023_train_059962,C0040405
ROCOv2_2023_train_027856,C0024485;C0006104;C0152279;C0016733
ROCOv2_2023_train_035835,C0040405;C0016976;C0027540;C0497156
ROCOv2_2023_train_023101,C0040405;C0332554;C0028259;C0205054
ROCOv2_2023_train_039414,C0040405;C0444611;C0224425;C0224444
ROCOv2_2023_train_033142,C0002978;C1947917;C1261316
ROCOv2_2023_train_005748,C0024485;C0225453
ROCOv2_2023_train_038551,C0041618;C0009438;C0750852;C0227300
ROCOv2_2023_train_045881,C0041618
ROCOv2_2023_train_039041,C3472245;C0449900;C0229619
ROCOv2_2023_train_052641,C0040405;C0018944;C0030797
ROCOv2_2023_train_035222,C0024485;C0152279;C0149555
ROCOv2_2023_train_011554,C0040405;C0006114
ROCOv2_2023_train_051782,C0024485;C0226859;C0040053
ROCOv2_2023_train_060077,C0040405;C0817096
ROCOv2_2023_train_007487,C0040405;C0022650;C0227628
ROCOv2_2023_train_023252,C0040405;C0019080;C0227391
ROCOv2_2023_train_030057,C1306645;C0817096;C1996865;C0036525;C0028259
ROCOv2_2023_train_021199,C1306645;C0817096;C1996865
ROCOv2_2023_train_027751,C0040405;C0332835
ROCOv2_2023_train_029541,C0041618;C0152424;C0542331
ROCOv2_2023_train_013333,C0002978;C0205054;C0013609;C0018944;C0340654
ROCOv2_2023_train_011803,C0024485;C0817096;C1261082;C0040452
ROCOv2_2023_train_042905,C0002978;C0032718
ROCOv2_2023_train_049246,C0040405;C0007531
ROCOv2_2023_train_034850,C0041618;C0817096;C0003483;C0034052
ROCOv2_2023_train_056459,C1306645;C0817096;C1996865
ROCOv2_2023_train_046906,C0041618;C0026264
ROCOv2_2023_train_038227,C1306645;C0037303;C0040452
ROCOv2_2023_train_029727,C0040405;C0227481;C0040053;C0582256;C0019066
ROCOv2_2023_train_029387,C0002978;C0085590;C0018792
ROCOv2_2023_train_016890,C1306645;C0037303
ROCOv2_2023_train_058917,C1306645;C0023216;C0205129;C0006655
ROCOv2_2023_train_033994,C1306645;C0023216;C1999039;C0230443
ROCOv2_2023_train_047354,C0040405;C0817096;C0019123
ROCOv2_2023_train_032239,C0040405;C0038356
ROCOv2_2023_train_036729,C1306645;C0817096;C1999039
ROCOv2_2023_train_006531,C0041618;C0584884;C0036277;C0205076
ROCOv2_2023_train_042520,C0202823;C0028259
ROCOv2_2023_train_059269,C1306645;C0817096;C1996865;C0032227
ROCOv2_2023_train_050717,C1306645;C0023216;C1999039;C0021102;C0448190
ROCOv2_2023_train_046826,C0041618;C0227998
ROCOv2_2023_train_016260,C1306645;C0817096;C1996865;C0032227;C2939419;C0333045;C0011980;C0225758
ROCOv2_2023_train_034931,C0024485;C0037949
ROCOv2_2023_train_000672,C0040405;C1261077;C0000726;C0030797
ROCOv2_2023_train_045850,C0041618;C2004491;C0278403
ROCOv2_2023_train_001490,C1306645;C0817096;C0014876
ROCOv2_2023_train_047686,C0040405
ROCOv2_2023_train_027401,C0040405;C0817096;C0042459;C0230127
ROCOv2_2023_train_058988,C0040405;C0225708;C0028259
ROCOv2_2023_train_031574,C1306645;C0037949;C0205129;C0030797;C1184923;C0022821;C0817096
ROCOv2_2023_train_032980,C0040405;C0333222;C0243026;C0003165;C0225730
ROCOv2_2023_train_031593,C0040405;C0028259;C0225730
ROCOv2_2023_train_040322,C1306645;C0037303
ROCOv2_2023_train_052839,C1306645;C0817096;C1996865;C0011980
ROCOv2_2023_train_005440,C0040405;C0225317;C0000833;C0016733;C0037199
ROCOv2_2023_train_045791,C0024485;C0007764;C0444611
ROCOv2_2023_train_028562,C1306645;C0023216;C1999039
ROCOv2_2023_train_042174,C1306645;C0023216;C1999039;C0448190
ROCOv2_2023_train_009026,C0002978;C0003483;C0027530
ROCOv2_2023_train_034082,C0040405;C0332448;C0225706;C0042459
ROCOv2_2023_train_058599,C0040405;C0817096;C0032227;C0225706;C0225730
ROCOv2_2023_train_036805,C0024485;C0024090
ROCOv2_2023_train_040186,C1306645;C0037303;C1266909
ROCOv2_2023_train_039703,C0024485;C0205207;C0012359
ROCOv2_2023_train_059055,C0041618;C0007874
ROCOv2_2023_train_029622,C0040405;C0034065;C0226069;C0023370
ROCOv2_2023_train_002830,C0041618;C0005682;C0006736;C0085590
