ID,Caption
ROCOv2_2023_train_017334,The measurement method of the vertebral height (VH) and the Cobb angle (CA)
ROCOv2_2023_train_030869,CECT showing the target sign suggestive of intussusception around the feeding tube
ROCOv2_2023_train_049287,Axial T1-weighted magnetic resonance imaging shows the lesion is isointense to muscle.
ROCOv2_2023_train_045339,"Esophagography of a patient who had esophageal atresia, congenital esophageal stenosis and achalasia simultaneously (black arrowhead: anastomosis site of esophageal atresia, black arrow: congenital esophageal stenosis, white arrowhead: site of achalasia)."
ROCOv2_2023_train_009501,MRI (coronal view) of the pelvis showing large pelvic mass (red arrow)
ROCOv2_2023_train_026197,Sagittal T2-Fatsat MR image of the right foot. The arrow show the calcaneus secondarius with T2 hyperintensity corresponding to synchondrosis edema (arrowheads)
ROCOv2_2023_train_003475,Echocardiogram showing mobile aortic valve vegetation
ROCOv2_2023_train_011037,MRI of the thoracic spine: sagittal T2 sequence partially demonstrating a hyperintense. T. 6–T9 intramedullary lesion along with an isolated hyperintense T5 lesion.
ROCOv2_2023_train_001743,Figure 1: Tube esophagram showing a contrast within the tracheobronchial tree suggestive of TEF.
ROCOv2_2023_train_025657,Technetium-99 m bone scan: clearly visible “hot spot” in the distal humerus.
ROCOv2_2023_train_058288,The chest tube was removed 2 days after the thoracostomy. The chest radiograph shows normal findings.
ROCOv2_2023_train_025173,Positron emission tomographic/computed tomographic scan shows increased fluorodeoxyglucose activity within the right ventricular mass.
ROCOv2_2023_train_048701,Coronal reformatted multislice abdominal computed tomography displaying a terminal ileum segment in the right-lower quadrant with marked thickening when compared to the adjacent ileal segments and showing mild enhancement after oral and intravenous contrast agent administration.
ROCOv2_2023_train_030556,"Chest HRCT showed honey combing, scissural distortion and ground glass opacities in the bases and the periphery of the lungs."
ROCOv2_2023_train_013818,Arrow showing emboli in left pulmonary vasculature.
ROCOv2_2023_train_011836,"CT scan showing a solid inhomogeneous mass, with inner calcifications"
ROCOv2_2023_train_024609,Small bowel follow-through study demonstrating contrast flowing from the second stage of the duodenum through a fistula towards the right kidney.
ROCOv2_2023_train_035462,Carotid angiography before and after catheter-based thrombectomy in acute anterior circulation stroke. (A) Thrombotic occlusion of the middle cerebral artery on admission. (B) Widely patent (near-normal) middle cerebral artery after catheter-based thrombectomy.
ROCOv2_2023_train_044970,Left heart cardiac catheterization revealing non-obstructive right coronary artery except complete occlusion with filling defect probably secondary to distal thrombus noted in the posterior left ventricular branch of right coronary artery (white asterisk)
ROCOv2_2023_train_032234,Computed tomography scan with multiple calculus in left kidney.
ROCOv2_2023_train_038280,"Maximum intensity projection image for F-18 FDG PET/CT showing intense accumulation of F-18 FDG in multiple lymph nodes, lung, liver, and spleen. F-18 FDG PET/CT = 18F-fluorodeoxyglucose positron emission tomography/computed tomography, SUVmax = maximum standardized uptake."
ROCOv2_2023_train_044425,T1-weighted MRI image of the thoracic spine. T. 1-weighted MRI image of the thoracic spine showing (1) an increasing retropulsion and epidural extraosseous metastasis causing moderate canal stenosis and cord compression. Increase in size of osseous metastatic lesion of the T2 vertebral body and left pedicle extending into the left neural foramina causing moderate left neural foraminal stenosis and (2) an increasing moderate to severe pathologic compression fracture deformity of T5 with approximately 75% height loss.
ROCOv2_2023_train_049638,"After 60 days, no signs of apical radiolucency or dentin resorption"
ROCOv2_2023_train_036737,Cross-sectional magnetic resonance imaging of the thorax. Four-chamber projection. Giant intracardiac thrombus (arrow) whose base is attached to left atrial wall in suture lines between the recipient’s (R) left atrium and the donor’s (D) left atrium.
ROCOv2_2023_train_010442,Prostate sonography showed lobulated prostate mass with intra-vesical protruding.
ROCOv2_2023_train_006243,"Placement of dual IVC filters (stars). IVC, inferior vena cava."
ROCOv2_2023_train_001972,Chest X-ray finding. Chest radiograph showing left-sided pleural effusion (arrow).
ROCOv2_2023_train_032474,Computed tomography of the first patient. A large colon perforation with pneumatosis intestinalis proximal to a previous anastomosis with extensive fecal spillage and extensive intra- and retro-pneumoperitoneum is seen.
ROCOv2_2023_train_043035,Axial (abdominal computed tomography) views of our patient showing multiple lesions in the liver.
ROCOv2_2023_train_045909,Chest radiograph of a large right-sided pneumothorax with leftward mediastinal shift requiring the placement of thoracostomy tubes
ROCOv2_2023_train_045375,Chest computed tomography showing bilateral pulmonary nodules.
ROCOv2_2023_train_033637,Echocardiogram of a subject with pericardial effusion
ROCOv2_2023_train_050630,Posteroanterior (PA) chest X-ray demonstrating the presence of a right-sided pneumothorax (PN)
ROCOv2_2023_train_017668,Angiogram of the patient coronaries showing no culprit lesion or significant stenosis.
ROCOv2_2023_train_025106,A computed tomography scan shows not only a huge dilated duodenum but also a 'whirling' of the mesenteric vessel trunk (arrow).
ROCOv2_2023_train_039556,Ultrasound showing subcapsular hematoma causing direct compression of renal parenchyma (arrow).
ROCOv2_2023_train_014810,"A contrast-enhanced computed tomography image demonstrating an irregularly shaped, 25.0-mm right atrial mass extending along the right atrial free wall (white arrow); minor left-sided pleural effusion; slight pleural thickening of the right side; and diffuse pericardial effusion."
ROCOv2_2023_train_032192,"Fluoroscopy with contrast demonstrating patent bilateral renal arteries and distal infrarenal aorto-occlusive disease with major filling defect (Red arrow). Image courtesy of Kristian O. Loveridge, D.O."
ROCOv2_2023_train_033755,X-ray after 6 weeks.
ROCOv2_2023_train_032580,"Dose distribution and volumes of IG-IMRT plan with the concomitant irradiation of lymph nodes of the small pelvis, whole bladder and a simultaneous concomitant boost to the site of the bladder tumour."
ROCOv2_2023_train_046383,Radiotherapy target volumes. Blue line: macroscopic disease (GTV); green line: GTV with motion (iGTV); light green: microscopic extension (CTV); red line: the final target volume (PTV).
ROCOv2_2023_train_042238,"Axial contrast-enhanced CT brain image in a 68-year-old man with known prostate carcinoma osseous metastases (not shown), demonstrating a hypoattenuating mass with a large enhancing peripheral nodule (arrow), predominantly involving the left cerebellar hemisphere, with mass effect on the fourth ventricle and resulting obstructive hydrocephalus. Biopsy with immunohistochemistry indicated metastatic prostatic adenocarcinoma."
ROCOv2_2023_train_013248,CT scan of the neck at 2 months after surgery. The tracheal injury has healed well with no proliferation of granulation tissue.
ROCOv2_2023_train_015263,Computed tomography angiography (Axial view)Shows the communication between the aorta (AO) and the inferior vena cava (IVC) during the arterial phase. we also note the presence of the foreign material in the AO.
ROCOv2_2023_train_025186,Superior lateral genicular lead placement with fluoroscopic guidance.Fluoroscopy was used to place the lead in the region of the superior lateral genicular nerve. The red arrow is pointing toward the final position of the introducing needle. The needle was repositioned until optimal paresthesia coverage was obtained
ROCOv2_2023_train_037207,Computed tomography scan images demonstrating abscess formation around gallstones in the intermuscular layer.
ROCOv2_2023_train_059962,Target volume definition on CT.
ROCOv2_2023_train_027856,T2 weighted MRI of the brain showing horse shoe lateral ventricle with fused frontal lobe anteriorly
ROCOv2_2023_train_035835,Gallbladder tuberculosis in 39-year-old woman.Transverse contrast-enhanced CT scan shows large gallbladder mass with marked heterogeneous enhancement and multiple areas of necrosis. Markedly enlarged lymph node with slight heterogeneous enhancement is seen in portocaval space.
ROCOv2_2023_train_023101,Low density shadow of nodule of the lesion in the portal phase.
ROCOv2_2023_train_039414,CT scan of left lower extremity showing a 25 mm × 40 mm × 140 mm fluid collection (↔) and peripheral enhancement of the gluteus medius and vastus lateralis muscles.
ROCOv2_2023_train_033142,Chronic total occlusion of right coronary artery (red arrow)
ROCOv2_2023_train_005748,"T2-weighted magnetic resonance imaging of the mass. Axial T2-weighted MR image shows a high signal intensity mass in the left maxillary sinus, which is surrounded by a low-signal intensity rim (arrows)"
ROCOv2_2023_train_038551,Common bile duct stone with sludge seen on linear endoscopic ultrasound from the duodenal bulb in a 36-year-old male presenting with 3 episodes of idiopathic acute pancreatitis in last 7 mo.
ROCOv2_2023_train_045881,Simple cyst as anechoic lesion with a sharply defined back wall and enhancement of through sound transmission.
ROCOv2_2023_train_039041,"A coronal view of a SPECT/CT is shown 5 months after balloon tibioplasty. The blue to red colors show tracer activity in an increasing order and the normal to high tracer activity is particularly located around the cement and the osteosynthesis. In contrast, no color and no tracer activity can be found in the bone marrow of the tibial shaft"
ROCOv2_2023_train_052641,CT findings on day 1. CT revealed a right pelvic fracture (arrow) and a haematoma (arrowhead) in the pelvic extraperitoneal space
ROCOv2_2023_train_035222,T1-weighted head MRI showing lateral ventricles and the third ventricle enlargement
ROCOv2_2023_train_011554,"Noncontrast head computed tomography (CT) showing diffuse cerebral edema, with hyperattenuated cisterns and cerebral sulci."
ROCOv2_2023_train_051782,Axial T2 WI looks almost normal. Note signal void superior sagittal sinus against evidence of thrombosis
ROCOv2_2023_train_060077,Chest computed tomography showing a right lung nodule (arrow).
ROCOv2_2023_train_007487,CT scan of the abdomen and pelvis showing left renal calculi with foci or air in the renal parenchyma.
ROCOv2_2023_train_023252,Helical computer tomographic angiography revealing the bleeding from the sigmoid colon (arrows).
ROCOv2_2023_train_030057,"Posteroanterior chest X-ray, acquired during follow-up, showing numerous, dense, bilateral metastatic nodules, of varying sizes."
ROCOv2_2023_train_021199,Normal chest radiograph.
ROCOv2_2023_train_027751,CT abdomen.Peri pancreatic lymph nodes (arrow) on initial CT scan performed during pre-transplant workup. 
ROCOv2_2023_train_029541,Transthoracic echocardiogram: apical ventricular septal defect with shunt noted.
ROCOv2_2023_train_013333,Hepatic arteriogram demonstrating medial displacement of hepatic arterioles due to mass effect of hematoma and lack of any arterial bleeding site.
ROCOv2_2023_train_011803,Late postoperative chest computed tomography revealed a patent left coronary artery after homograft root replacement.
ROCOv2_2023_train_042905,Digital subtraction angiography of the portal vein during transjugular intrahepatic portosystemic shunt placement showing successful placement of stent for procedure.
ROCOv2_2023_train_049246,"Abdominal computed tomography scan. Hyperdense discs at arrow tips, located in the cecum."
ROCOv2_2023_train_034850,Sagittal USG of the fetal chest shows an echogenic aorta (arrowhead). The pulmonary artery is well seen (small arrow)
ROCOv2_2023_train_056459,Posteroanterior of a sweeping thoracolumbar curve with pelvic obliquity typical of neuromuscular scoliosis.
ROCOv2_2023_train_046906,Parasternal long axis view revealing a diffused leaflet thickening of the mitral valve.
ROCOv2_2023_train_038227,OPG―6-month postoperative size of the lesion reduced considerably and 37 shows normal and progressive root formation
ROCOv2_2023_train_029727,"Abdomen CT showing a 7.5 cm mass occupying the right lobe of the liver, thrombosis of the right portal vein, and hemoperitoneum (HU = 67)."
ROCOv2_2023_train_029387,Ablation catheter placement during Left Atrial Roofline
ROCOv2_2023_train_016890,Periapical radiograph show a root canal treatment and periapical lesion.
ROCOv2_2023_train_058917,"Lateral view of preoperative radiograph, illustrating measured angles. CPA, calcaneal pitch angle; LMA, lateral Meary's angle; TDA, talar declination angle."
ROCOv2_2023_train_033994,X--ray left leg shows 42 B1.2 leg fractures
ROCOv2_2023_train_047354,Computed tomography scan showing abnormal visceral pleural thickening. This is an air-contrast chest computed tomography scan showing abnormal visceral pleural thickening (arrows) in the setting of lung entrapment from a resolving hemothorax.
ROCOv2_2023_train_032239,CT image of a stomach tumor process.
ROCOv2_2023_train_036729,Chest radiograph on day 1
ROCOv2_2023_train_006531,"A trasverse plane ultrasound image of the subscapularis muscle. Before the trigger point injection, the lateral border of the scapula needs to be identified. C chest wall, L lateral border of the scapula. Tmj, Teres major; Tmi, Teres minor; SSC, subscapularis."
ROCOv2_2023_train_042520,PET CT scan of chest showing increased uptake in nodules.
ROCOv2_2023_train_059269,Chest X-ray with arrow pointing to a large right-sided pleural effusion
ROCOv2_2023_train_050717,Radiograph showing failure of implant and therefore failure of the proximal femur nailing.
ROCOv2_2023_train_046826,Gray-scale ultrasound image reveals a hypoechoic solid mass within the left testis.
ROCOv2_2023_train_016260,Plain chest X-ray shows no pleural effusion or metastasis. Upward displacement of the diaphragm affecting air entry into the lower lobes of lungs (explains patient's tachypnea).
ROCOv2_2023_train_034931,Sagittal short tau inversion recovery MRI of the dorsal spine posttreatment.The MRI demonstrates normal morphology and resolution of the signal intensity noted earlier.MRI: magnetic resonance imaging
ROCOv2_2023_train_000672,Initial CTAP showing LLL mass-like consolidation measuring 4.1 x 3 cm. CTAP: computed tomography of the abdomen and pelvis; LLL: left lower lung; cm: centimeter
ROCOv2_2023_train_045850,B-mode ultrasound measuring maximum scar thickness. Scar and subcutaneous tissue are visible in the image as a superficially limited hypoechoic layer and from the deep hyperechoic bands.
ROCOv2_2023_train_001490,Barium swallow examination showing evidence of multiple webs in the upper esophagus (arrows).
ROCOv2_2023_train_047686,CT lung scan showing crazy paving pattern
ROCOv2_2023_train_027401,Contrast-enhanced CT of the chest of a 51-year-old male with invasive thymoma and pleural metastases is shown above. Thymoma appears as a lobulated mediastinal mass (asterisks) encircling the superior vena cava. The thickening seen around the lateral and medical aspect of the right hemithorax (arrows) represents pleural metastases.
ROCOv2_2023_train_058988,CT chest demonstrates right lung base nodule.
ROCOv2_2023_train_031574,"The graph shows the measurement of the sagittal spinopelvic alignments. PI pelvic incidence, LL lumbar lordosis (L1–S1), PLL proximal lumbar lordosis (L1–L4 superior endplate), DLL distal lumbar lordosis (L4 superior endplate to S1), TLK thoracolumbar kyphosis (T10–L2), TK thoracic kyphosis (T5–T12)."
ROCOv2_2023_train_032980,Septic emboli. A 29-year-old male and IV drug abuser was admitted with sepsis and dyspnea. There was a peripheral cavitary lesion in the right lung (black arrow) and a wedge-shaped lesion in the left lung (yellow arrow).
ROCOv2_2023_train_031593,Axial section of the patient's CT scan showing nodules in the lower left lung (red arrows)CT: computed tomography
ROCOv2_2023_train_040322,- Long-term post-treatment (T3) panoramic radiograph.
ROCOv2_2023_train_052839,Plain film of chest. Chest radiography showed right fifth to eighth rib fractures and was suspicious for free air under our patient’s bilateral hemi-diaphragm (red arrows).
ROCOv2_2023_train_005440,CT of the facial mass (from the same patient in figure 1) in axial sections after PDC injection in the soft-tissue window showing a presptal hypodense orbital image with peripheral contrast check (arrow): left prespetal abscess (Chandler’s Stage I) complicating frontal homolateral sinusitis
ROCOv2_2023_train_045791,"MRI scan at presentation. Coronal T2 FLAIR image shows a right cerebellopontine angle hyperintense extra-axial dural-based lesion (red arrow).MRI, magnetic resonance imaging; FLAIR, fluid attenuated inversion recovery"
ROCOv2_2023_train_028562,"Case no 2, radiograph showing union at 29 months."
ROCOv2_2023_train_042174,Fracture of right proximal femur occurred without trauma.
ROCOv2_2023_train_009026,A 28 × 60 Ankura aortic extender was deployed to bridge the proximal remaining aortic neck with the migrated Talent body.
ROCOv2_2023_train_034082,Preoperative computed tomography scan of patient 11. Carcinoid infiltrating right lung and Vena cava superior
ROCOv2_2023_train_058599,Computerized tomography chest showing pleural effusion in the right lung and pulmonary nodules in the left lung.
ROCOv2_2023_train_036805,Previously made lumbar spinal magnetic resonance imaging shows the right gluteal mass.
ROCOv2_2023_train_040186,postoperative panoramic radiographs after tooth extraction and bone augmentation.
ROCOv2_2023_train_039703,Retrocerebellar cystic ectasia in axial T2 weighted section.
ROCOv2_2023_train_059055,Transvaginal US scan showing the presence [*] within the cervical canal of nonhomogeneous vascularized residual ablation material. The solid and dotted lines represent the two portion of the cervical length
ROCOv2_2023_train_029622,CTPA image of left pulmonary artery showing saddle embolus (black arrows).
ROCOv2_2023_train_002830,"Case number: 3. Ultrasound examination of urinary bladder, performed on 28 September 2011, revealed a 1.2 cm diameter calculus lying to the right side of the balloon of Foley catheter in the bladder. This patient developed autonomic dysreflexia during lithotripsy, which was performed under sedation."
ROCOv2_2023_train_003015,"Example of segmentation of a computed tomography image with boundary lines between external air and subcutaneous fat (1), between subcutaneous fat and abdominal wall/paraspinal muscles (2), and between abdominal wall/paraspinal muscles and visceral fat (3). The box around the paraspinal muscles allows the algorithm to separately calculate the paraspinal muscle area (if this information is desired)"
ROCOv2_2023_train_011972,"52-Year-old female with multi-nodular goiter and 6 mm PTC in upper pole of right lobe of gland (long arrow). The PTC nodule is hypoechoic with irregular margins and microcalcification. An adjacent similar sized hypoechoic benign nodule with well-defined margins (short arrow) is seen in the posterior aspect of upper pole of right lobe of thyroid gland. It is important to meticulously document the location of the PTC (in this instance as right, upper, anterior) to prevent mistaking an adjacent benign nodule for the PTC at follow-up"
ROCOv2_2023_train_020241,Digital subtraction angiography of the right posterior tibial artery at ankle’s level with a filling defect of approximately 8 × 3 mm
ROCOv2_2023_train_021319,"Non-enhanced axial CT scan showing a lobulated hypoattenuating mass in the right nasal cavity and nasal septum, containing ring and arc calcifications (arrows). The bony margins of the medial orbital wall were thin and expanded, without definite evidence of bony destruction."
ROCOv2_2023_train_046092,CT showing migrated PEC tube (axial plane).
ROCOv2_2023_train_054295,Chest X-ray showing improved COVID-19 infection and no pulmonary edema with cardiomegaly on 12th day of admission
ROCOv2_2023_train_012720,Marginal bone level measurement. A reference line is drawn at the implant-abutment junction from where the mesial and distal marginal bone levels are measured.
ROCOv2_2023_train_051485,Ventrodorsal radiograph of barium sulfate enema; note that the contrast media and Foley catheter trapped (arrows) in the diverticulum. Rectal diverticulum is outlined by barium sulfate contrast media in the left side
ROCOv2_2023_train_034032,Post-venoplasty and -stenting of stenosis with clear lung fields and pleural spaces. Significant resolution of the subcutaneous oedema of breast and arm.
ROCOv2_2023_train_006905,Pancreatic fluid collection at the tail of the pancreas with gas bubbles seen with in it suggestive of infected pancreatic fluid collection.
ROCOv2_2023_train_011428,"Radiograph image (X-ray) of the lumbosacral region. The image was taken in the ventrodorsal projection using the Atomscope radiograph machine (model 100pr type B, Auckland, New Zealand), with a collimator-to-film distance of 70 cm, exposure of 80 ms, and penetration power of 80 kV."
ROCOv2_2023_train_036339,Thoracic X-ray on admission.
ROCOv2_2023_train_058518,CT urogram showing a segmental infract in the left kidney (white arrow).
